File,I(600V),I(800V),I(1000V),DepV,I(DepV)
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_0min,-2.061167e-05,-2.347453e-05,-2.728432e-05,263.45345345345345,1.6472302447447445e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_100min,-1.641673e-05,-1.861642e-05,-2.151137e-05,238.51851851851853,1.303038e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_10min,-1.966301e-05,-2.244725e-05,-2.598347e-05,249.12912912912913,1.5558243543543543e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_20min,-1.982388e-05,-2.26844e-05,-2.640041e-05,241.17117117117118,1.560098626126126e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_30min,-1.909543e-05,-2.176005e-05,-2.537938e-05,239.5795795795796,1.5037143363363365e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_40min,-1.814726e-05,-2.068418e-05,-2.399914e-05,234.8048048048048,1.4327053993993994e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_50min,-1.776011e-05,-2.016458e-05,-2.343202e-05,235.33533533533534,1.4032375755755757e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_60min,-1.753583e-05,-1.995003e-05,-2.32566e-05,235.33533533533534,1.3861648198198197e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_70min,-1.711575e-05,-1.93666e-05,-2.243024e-05,236.3963963963964,1.3516801891891892e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_80min,-1.691045e-05,-1.917073e-05,-2.224628e-05,237.45745745745745,1.3444790480480481e-05
N4789_20_UR_DIODEHALF_GR_Irradiated_60C_90min,-1.671035e-05,-1.898129e-05,-2.194661e-05,237.987987987988,1.3344376426426426e-05
