,I(600V),I(800V),I(1000V),DepV
34330_2S_048,-6.623737e-11,-6.90696e-11,-7.41877e-11,291.41414141414145
34330_2S_049,-6.632941e-11,-6.919547e-11,-7.686541e-11,299.49494949494954
34331_2S_007,-6.774666e-11,-7.28407e-11,-9.308773e-11,299.49494949494954
34331_2S_042,-7.174131e-11,-7.296806e-11,-8.190749e-11,271.21212121212125
37903_2S_045,-1.026653e-10,-2.595988e-10,0.0,249.2492492492493
37903_2S_003,-1.005296e-10,-1.087255e-10,-1.251989e-10,268.9489489489489
38202_2S_031,-9.282861e-11,-9.968389e-11,-1.125178e-10,234.83483483483485
38202_2S_028,-9.636089e-11,-1.043014e-10,-1.222701e-10,232.91291291291293
38693_2S_046,-1.029303e-10,-1.12676e-10,-1.375234e-10,256.45645645645646
38693_2S_001,-1.072333e-10,-1.170948e-10,0.0,226.1861861861862
38694_2S_046,-1.084297e-10,-1.161453e-10,-1.288239e-10,228.10810810810813
38694_2S_003,-1.142757e-10,-1.246277e-10,-1.399404e-10,227.1471471471472
38695_2S_044,-1.049623e-10,-1.145306e-10,-1.340388e-10,244.44444444444449
38695_2S_002,-1.062977e-10,-1.160239e-10,-1.368856e-10,237.23723723723725
38696_2S_046,-1.095102e-10,-1.166992e-10,-1.300592e-10,241.0810810810811
38696_2S_001,-1.198481e-10,-1.289719e-10,-1.432218e-10,241.5615615615616
38713_2S_049,-1.023292e-10,-1.101584e-10,-1.290674e-10,230.990990990991
38873_2S_003,-1.098229e-10,-1.181076e-10,-1.346659e-10,201.68168168168168
38873_2S_035,-1.023292e-10,-1.101584e-10,-1.290674e-10,230.990990990991
38874_2S_011,-1.108296e-10,-1.196189e-10,-1.396312e-10,223.7837837837838
38874_2S_044,-1.154301e-10,-1.245352e-10,-1.447362e-10,206.96696696696696
38875_2S_048,-9.455826e-11,-1.013149e-10,-1.131164e-10,250.21021021021025
38875_2S_004,-1.049965e-10,-1.135087e-10,-1.309324e-10,247.3273273273273
